text,top_class,hate_speech,offensive_language,neither
nope,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
TBD RPG,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
C6 is next week iirc,neither,0.04930136508134174,0.34303935504532757,0.6076592798733308
damn,offensive_language,0.042479326866149344,0.9516554255713155,0.005865247562535126
Wrestling RPG,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
o ok,neither,0.03935517884257045,0.3320399062092607,0.6286049149481688
byt yeah next week Callisto 6 will be back :D,neither,0.025463969943299216,0.42634529333287186,0.5481907367238289
Vamps are back tonight though,neither,0.06562642555576682,0.25626951251185837,0.6781040619323747
wheee i can't ait,neither,0.04033449801857472,0.31541830397308185,0.6442471980083434
I wonder how the vote went,neither,0.03863086780645359,0.31536503272900074,0.6460040994645456
!rebroadcast,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
I'm sitting here trying to finish SoT and hearing some music,neither,0.06483147112650228,0.2864663822955451,0.6487021465779526
and scrolling thru reddit,neither,0.038656005605836465,0.29000106499456374,0.6713429293995998
lol,neither,0.020706217963973744,0.4882283491876925,0.4910654328483337
here waiting for la by night,neither,0.0599519199389657,0.31002835157584124,0.6300197284851929
"Right there with you, furrysunite12.",neither,0.040951839707067374,0.41670000751998376,0.5423481527729488
"I watched some CR last night, and haven't seen it before",neither,0.027406445853165113,0.35334826140508646,0.6192452927417484
isent LA by night today ???,neither,0.03163831844358868,0.3506789338307597,0.6176827477256517
I'm kind of curious about this actually,neither,0.0380859205230428,0.3535825323918989,0.6083315470850584
it looks like a great time,neither,0.045395457077959854,0.3389089324449245,0.6156956104771155
!whenisvtm,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"Vampire: The Masquerade - L.A. By Night is on at 8 PM PST on Fridays, it is currently 3:54 PM PST on Friday. There is 4 Hours, 5 Minutes, 17 Seconds until the next episode of Vampire: The Masquerade - L.A. By Night.",neither,0.03781963536783564,0.3484723388927119,0.6137080257394524
I haven't seen LABN yet and its next on my VOD backlog,neither,0.024112523201188868,0.3862763069506964,0.5896111698481147
!rbschedule,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
should I hold off til I'm done with season 1 first?,neither,0.033445144579175835,0.3931276837582118,0.5734271716626125
