text,top_class,hate_speech,offensive_language,neither
Hi Trisha and Erika! gandsGameEngine,neither,0.038358606956405694,0.2721397086643902,0.6895016843792041
Hello Erika and Trish! Hello all!,neither,0.039939988579603826,0.3492128328696875,0.6108471785507087
gandsHype gandsHype gandsHype gandsHype gandsHype,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Hi Trisha and Erika!,neither,0.038358606956405694,0.2721397086643902,0.6895016843792041
thuluJACK Trish thuluJACK Erika thuluJACK chat,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Hi @The_TBoyce @Ossborn,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
we probably didnt need the stuff Erika just broke anyway,neither,0.03482840957393764,0.34789242452841285,0.6172791658976495
It wouldn't be a show with Erika Ishii without flipping a table or throwing things. LOL gandsHype,neither,0.03523664538881187,0.34239433441685363,0.6223690201943345
yay,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@Andyinsomnia Nah.,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
my first time,neither,0.01729199000720381,0.47837198006084786,0.5043360299319483
@techweenie Welcome and enjoy!,neither,0.03860730184226345,0.28722824611601955,0.6741644520417169
gandsGameEngine,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
!respect,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"If you would like to share opinions on our hosts, guests or fellow viewers, please do so in a respectful manner. Don't make them feel uncomfortable.",neither,0.04843323757214918,0.39559142321184637,0.5559753392160044
"I never realized that Kratos was voiced and mocapped by Christopher Judge. Be still, my Stargate-loving heart! gandsGameEngine",neither,0.030107693689122167,0.42272621122879356,0.5471660950820844
!points Trisha,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"That was an excellent pun, Trisha! Here, have some points for that one! You have been awarded 51 points!",neither,0.050805666259642904,0.3851811885541635,0.5640131451861937
hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
