text,top_class,hate_speech,offensive_language,neither
shroudHype shroudHype,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"HYPE DADDY""S LIVE",neither,0.04392624279228385,0.3288376064419301,0.627236150765786
shroudR,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Pepega,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Pepega,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Pepega,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Pepega,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Pepega,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Pepega,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Pepega,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Pepega,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Pepega Pepega,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Pepega,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Pepega,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Pepega,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Pepega /,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Pepega,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
shroudR shroudR shroudR shroudR shroudR shroudR,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Pog,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Pepega I WAS HERE,neither,0.16237291887918595,0.2531150994017352,0.5845119817190788
AYAYA kimiAYAYA omgAYAYA,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
lurnKiss @areamann,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
shroud is now live! Streaming Just Chatting: TRYING BORDERLANDS 3!! | @shroud on socials for updates,neither,0.038052820853815755,0.33042921210339643,0.6315179670427877
ree,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"I like this weird time when shroud is live, but chat is slow.",neither,0.04992052163570185,0.3883987769511159,0.5616807014131823
yooo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@AreaMann shroudHi shroudLove,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
yo,offensive_language,0.04010381111145228,0.5271105317972344,0.4327856570913131
yo,offensive_language,0.04010381111145228,0.5271105317972344,0.4327856570913131
"It lasts like a minute or two, but FeelsGoodMan",neither,0.044103841775837926,0.34286314652718086,0.6130330116969812
DansGame,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
c36aswcjtup2fnd subscribed with Twitch Prime.,neither,0.030186173588972614,0.3621416721941929,0.6076721542168345
yo,offensive_language,0.04010381111145228,0.5271105317972344,0.4327856570913131
louder when,neither,0.029005800438506337,0.38390556720316915,0.5870886323583246
first,neither,0.02604892428726219,0.3349864360510187,0.6389646396617191
@wava @jcjoeyfreak shroudHi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Yooooo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
first,neither,0.02604892428726219,0.3349864360510187,0.6389646396617191
@SavageTarzan it's the best,neither,0.03450094177757821,0.2943394220921508,0.6711596361302711
hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
jeaa,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
hye,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Pog,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
samn it,neither,0.034373745257138544,0.33212314837979673,0.6335031063630647
first,neither,0.02604892428726219,0.3349864360510187,0.6389646396617191
SUBSCRIBER ONLY MODE IS GAY,neither,0.28270079530355874,0.17979619491763107,0.5375030097788102
pog,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
TriHard,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
epic,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
SHROOD,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Alsalam Aleikom,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@chantiicod4 widepeepoHappy,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
PLEBS WE ARE FREE,neither,0.08129352137293547,0.2674909021446758,0.6512155764823887
kgtv4Head_SG kgtv4Head_SG kgtv4Head_SG,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
hey shroud,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
slipryGoodStuff slipryGoodStuff,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
yo,offensive_language,0.04010381111145228,0.5271105317972344,0.4327856570913131
!prime,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Pog live,neither,0.04891340716200846,0.3271222919257548,0.6239643009122369
shroudW Have you heard of shroudPrime ? shroudHype https://clips.twitch.tv/FuriousPiercingBananaPJSugar - http://bit.ly/HowToTwitchPrime,neither,0.0448097334536857,0.291441135190592,0.6637491313557223
WASHED UP SHROUD I LOVE YOU,neither,0.05126961093656778,0.47335875683009226,0.47537163223333984
oyoyooyyoyooyoy,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Add my Twitter LesbianLcve,offensive_language,0.02639346303241284,0.5638860652052023,0.40972047176238485
waalaikumussalam,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Ahhh getting on that hype train I see,neither,0.0322454909117766,0.41559959138271857,0.5521549177055048
any cuties? AYAYA AYAYA AYAYA,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
44,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Wag wan,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
shroudTHICC,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
'washed up shroud' PepeLaugh,neither,0.03612935963130644,0.3988232696965536,0.5650473706721401
AYAYA,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
AYAYYAYAY CLAP,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
shroudChill shroudChill shroudChill shroudChill shroudChill,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
lmao,neither,0.03705015143476208,0.3711622369619404,0.5917876116032975
DoritosChip,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Yes!!!!!,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
shroudHi shroudHi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ppoop,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Hello all guy 😊,neither,0.04098803322911936,0.4242059811428879,0.5348059856279926
kgtv4Head_SG,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
PogU,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
SMOrc SMOrc SMOrc SMOrc,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Hdhdhdbehxhchf,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Kef el 7al,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
hey,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
AYAYA,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Hewwo?!,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
u ugly,neither,0.41117227079728397,0.030999006598145556,0.5578287226045704
Hey,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
yo,offensive_language,0.04010381111145228,0.5271105317972344,0.4327856570913131
Fuck subscribers only,offensive_language,0.23875485184206555,0.7612445604450432,5.877128911967826e-07
wifiScam wifiScam,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
tatHYPERS tatHYPERS,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Sou seu fan,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Pog,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Best game hands down,neither,0.03800530146673317,0.2826202179908828,0.679374480542384
helloooooooooo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
wooooo borderlands,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
TableHere FlipThis Yeahhh!!,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Hey,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
W,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
3arab??,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
y,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
!uptime,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
TSM WON,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
BibleThump <3 i luv you shrood,neither,0.06666059860292295,0.4042291276308796,0.5291102737661973
"@im_just_peter, Mike has been live for: 2 minutes, 26 seconds",neither,0.03827275891085941,0.30957338982808197,0.6521538512610586
Anyone want my ballsagna,neither,0.02548587027602391,0.4400227947652548,0.5344913349587213
G,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
kimiAYAYA Clap,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
wifiKrump wifiKrump wifiKrump wifiKrump wifiKrump wifiKrump wifiKrump,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Oh yeah borderlands for shroud buzzed,neither,0.019061199773963842,0.37716005159619637,0.6037787486298397
Poor people ! ASSEMBLE,neither,0.08679871221688451,0.3244046614682376,0.5887966263148778
troyDS,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
TriHard,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Yoo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
troyDS,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
AYAYAYAYA,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Luckily no WOW shit,offensive_language,0.04512744804770061,0.9523875884591734,0.0024849634931261217
yayayaya just9nD,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
!uptimd,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Yo,offensive_language,0.04010381111145228,0.5271105317972344,0.4327856570913131
yeet,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
xd_Magnuzz subscribed with Twitch Prime.,neither,0.030186173588972614,0.3621416721941929,0.6076721542168345
PrideLionHey,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
LesbianLcve is my Twitter go follow quick,offensive_language,0.035543201955115,0.522340218479275,0.44211657956560996
BL3 Pog Pog Pog,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
doctorWARCRY doctorWARCRY doctorWARCRY doctorWARCRY,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
