text,top_class,hate_speech,offensive_language,neither
mikey,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
im first xd,neither,0.027762498762828915,0.38722415684797934,0.5850133443891918
OMG,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Ayooo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
LOL you're going live,neither,0.07958009391857811,0.45008358627266654,0.4703363198087553
holy shit,offensive_language,0.04257650662097627,0.9573463282193174,7.716515970639687e-05
ey,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"hehe i won, first time i won",neither,0.033690478384853596,0.3459055954142335,0.620403926200913
yes,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ur first cj2k,neither,0.06283931437690432,0.322332533853686,0.6148281517694096
nice,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
:D,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
hi guys,neither,0.03930687933907141,0.3328596748352989,0.6278334458256297
:D,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
AYEEE,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
You better win Kato,neither,0.06560117706219465,0.40161775921709986,0.5327810637207054
hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
hiiiiiii,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
i'm betting my life savings on it,neither,0.026414874073661408,0.4447253286200569,0.5288597973062817
love you shroud<33,neither,0.05401464935182985,0.39894940016057917,0.5470359504875909
hey @shroud,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
:),neither,0.03945320844208391,0.33037608806864915,0.630170703489267
SUP shroud,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
hey shroud :},neither,0.03945320844208391,0.33037608806864915,0.630170703489267
fucking finally shroud is on,offensive_language,0.1251693914402451,0.874651372209954,0.00017923634980082369
i came in here ~10 mins ago asking for you to go live lol,neither,0.07771296222006441,0.34453881199676273,0.5777482257831728
sumW,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Whats up young @Shroud,neither,0.033503446540974105,0.4402892364926426,0.5262073169663833
im hella bored,neither,0.03336360240943987,0.4499065507699387,0.5167298468206215
shroudHype,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
shroud glhf,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Xd,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
sup @shroud,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
shroudHype shroudHype shroudHype shroudHype,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
hola shrood,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
i loaded up my skins with your stickers lol,neither,0.032743789337772874,0.47772401516761354,0.4895321954946137
"god damnit mike, just as a rank s game started ;(",neither,0.035201998039103226,0.33795048934067834,0.6268475126202184
doood,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
lol,neither,0.020706217963973744,0.4882283491876925,0.4910654328483337
HEY ITS FUCKIN SHRIMP,offensive_language,0.06793706301427836,0.9046965869117477,0.027366350073974
dad!,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@shroud good luck at Katowice,neither,0.037740019093779706,0.35970872576360663,0.6025512551426138
YOO,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
shroudPigeon shroudPigeon shroudPigeon shroudPigeon shroudPigeon,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ayyyyyyyyyyyyy,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
SHROOD,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"""i'll stream tomorrow morning he says""",neither,0.05031047635021759,0.22425754411154225,0.7254319795382401
YO YO YO,offensive_language,0.04010381111145228,0.5271105317972344,0.4327856570913131
haha @deezalol,neither,0.03186685585600258,0.45913629025701075,0.5089968538869867
@shroud hello,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
boatyVV ✌️,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
helo shrud,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
first,neither,0.02604892428726219,0.3349864360510187,0.6389646396617191
HOLA,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
bruhhhhhhhhhh,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Daddy,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Das,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Lets geit leit,neither,0.0381375099945381,0.3527069244228318,0.6091555655826302
👋,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
PogChamp,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
no me,neither,0.023233758956060772,0.4454448210683549,0.5313214199755844
SHROOOOOOD,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Sup,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
BOY,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Fatherr,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
what's up shrewdy @shroud,neither,0.04549209283961305,0.43877665191533993,0.5157312552450469
dad,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
SHROODY,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
<3,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
H1zq,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Why hello there Michael,neither,0.02924177719714337,0.30491471507374124,0.6658435077291154
SHROOOOOD,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
SHROUD I LOVE YOU JK I HATE YOU,hate_speech,0.4820335944837921,0.28727994196175044,0.23068646355445738
Hi shrod,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
WASSUP SHROOODY,neither,0.33529425248498695,0.08556156890646638,0.5791441786085466
Succ me dammit,neither,0.03063603680084433,0.37886626789811373,0.5904976953010419
1g,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Dad,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Shroud,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Shroud!,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Heey,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
1G,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
shroudH shroudH shroudH,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
shroudd u fucking twat,offensive_language,0.08945056174589928,0.9105489556056262,4.826484745250101e-07
shroudy when is katowice?,neither,0.03268292130649759,0.4337617448415696,0.5335553338519327
THE SHROUDFATHER,neither,0.03613032604487659,0.2619290779399786,0.7019405960151449
Daddy,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
iri does he put it in slow or you all about that bass no treble?,offensive_language,0.03756644661533326,0.5379132609332733,0.42452029245139333
Hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
what a time to be alive,neither,0.05332506151241374,0.34688689638224846,0.5997880421053378
BabyRage,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
jdmCap jdmVac,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
take me,neither,0.02662153890935304,0.4037482254446758,0.5696302356459712
Jj,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
1g's aren't welcome here. Only shroudPigeon shroudPigeon shroudPigeon shroudPigeon shroudPigeon shroudPigeon shroudPigeon shroudPigeon,neither,0.08691533853381862,0.29244493563202445,0.6206397258341569
Heyyy shroud,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
!uptime,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@rayumor Channel shroud has been live for 03m and 02s,neither,0.037527441653855145,0.2724964938497483,0.6899760644963965
BrokeBack BrokeBack,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Shroud PogChamp Kreygasm,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Suhhh shroud and stream HeyGuys,neither,0.03852460340978638,0.282397176840787,0.6790782197494266
soupGod soupGod soupGod soupGod soupGod soupGod soupGod soupGod,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
shr00d,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
PogChamp,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Does shroud have ifunny on his phone? what about games???,neither,0.04434426729198344,0.46912390784055447,0.48653182486746216
WutFace WutFace Kappa WutFace WutFace,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
I always thought the sub photo was a computer mouse 😅,neither,0.03981352230180026,0.2922655365242758,0.667920941173924
Father!,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
jeepers,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Nice,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Shrrom,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
shroudW shroudMilk,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
wow the chat is so fast.. n o one will see im gay,neither,0.17487332444650844,0.27472607029356094,0.5504006052599306
sum1g,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
HERO HERO,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Kappa /,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
deezalol KappaPride,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Shroomd,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"@Shroud, are you doing a meetup in katowice? would love to meet you",neither,0.12465094951565026,0.3738730766608879,0.5014759738234619
shroudHype shroudHype shroudHype shroudHype shroudHype,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
shroudW ***,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Is that pegboard nerds I hear?,neither,0.04325101226418311,0.3683699755675632,0.5883790121682537
Kappa,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
xd,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
1g,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
when is katowice?,neither,0.03268292130649759,0.4337617448415696,0.5335553338519327
shroudW shroudMilk,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
DAD,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Mau5,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Hi shroud,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Ayyy if it ain't shrood,offensive_language,0.010371090438368622,0.5797240076749758,0.40990490188665574
shroudW shroudW shroudW shroudW,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Too,neither,0.038798963802794226,0.34148032703984427,0.6197207091573615
ayy,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
<3 <3,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Where is Katowice,neither,0.06245822111259904,0.2612427577458543,0.6762990211415466
"@Shroud, was just about to go watch porn until i seen shroud stream Kreygasm",neither,0.04059754590911605,0.41213074110114567,0.5472717129897384
Hottie,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
sumW sumW sumW sumW sumW sumW sumW,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Yoo shroody!,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Kk,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
katowice kurwa !,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Is it just me or does everything someone says gets said twice?,neither,0.027077463444177878,0.44756557719737117,0.525356959358451
ninjaCRINJA shroudW,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
I'm gay and no one will ever know... KappaPride,neither,0.2561747035417105,0.1654072592607888,0.5784180371975006
!livetimw,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"@SneakyyyXD, Same what type you watch?",neither,0.07837501529682642,0.3852266162384788,0.5363983684646948
KAPOW KAPOW KAPOW KAPOW KAPOW KAPOW,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Summit1G is better than shroud boiss,neither,0.05171325368621576,0.3374437062346175,0.6108430400791669
AronRos KappaPride,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
heyyy mom,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
still not as cool as KryozGaming,neither,0.03396210012419238,0.408987350322808,0.5570505495529996
!livetime,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
BAWS?,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Summit,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
hello!!!,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
