text,top_class,hate_speech,offensive_language,neither
Na stream,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
:D,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
were back,neither,0.039949478692595033,0.2960586047043182,0.6639919166030868
WOW,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
SAVED,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
saved,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
shrrod Kreygasm,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ITS TIME TO STOP,neither,0.03771527399064238,0.4532397108020082,0.5090450152073495
There we go,neither,0.04083933629015207,0.27628362646603744,0.6828770372438104
Or not Kappa,neither,0.038094885690638486,0.3354811400690798,0.6264239742402817
guysn refresh,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
rip what happen?,neither,0.04519592605987017,0.32626553426110294,0.628538539679027
Yeah,offensive_language,0.013968601452186464,0.5182923869769311,0.4677390115708824
saved,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
saved,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
I JACK OFF IN MY ROOM TOO,neither,0.029220023089004763,0.41123473067751204,0.5595452462334831
saved,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Kappa 🔫 cmonBruh TURN GOLDEN,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
SAVED,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
saved,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
REFRESH,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
FeelsAmazingMan,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
we back,neither,0.039166053543719236,0.33524985610846453,0.6255840903478163
Refresh LUL,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
sellout,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
!uptime,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
this streamer is very white guy O_o,hate_speech,0.6112178008082483,0.35711858661523943,0.031663612576512366
"@jeroen9710 Channel shroud has been live for 01h, 48m and 54s",neither,0.037527441653855145,0.2724964938497483,0.6899760644963965
Kreygasm,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
WutFace,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
refresh your page,neither,0.06857041110548205,0.32229138137405233,0.6091382075204657
!viewmodel,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
back,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
SSSsss,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@s,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Rip again,neither,0.037252794504889615,0.3677228552056054,0.595024350289505
what,neither,0.057770773616808734,0.3180719994247239,0.6241572269584672
Rip,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Wow again,neither,0.03699294068297767,0.37213325272788617,0.5908738065891361
LUL,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
bufferingggg,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
lag,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
refresh,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Shroudy!,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Come on Shroood :(,neither,0.031465329865955356,0.4061586881471455,0.562375981986899
"@Shroud, thats a sexy outfit",neither,0.03945320844208391,0.33037608806864915,0.630170703489267
SLEMMY DDOS,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
NervousMonkey,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
!uptime,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@ziege_aus_pakistan Channel shroud has been live for 01m and 11s,neither,0.037527441653855145,0.2724964938497483,0.6899760644963965
damn he lost 4k viewers,offensive_language,0.050118839801937105,0.7499073960024131,0.19997376419564988
lol,neither,0.020706217963973744,0.4882283491876925,0.4910654328483337
LMFAOOOOOOOOO,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
confirmed slem dog da ddos'r,neither,0.07225097364837513,0.4448838169409968,0.482865209410628
LOOL,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
lol,neither,0.020706217963973744,0.4882283491876925,0.4910654328483337
Nice stolen joke tarik,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
LOL,neither,0.020706217963973744,0.4882283491876925,0.4910654328483337
ResidentSleeper,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Hello! :D,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"@1_killerace20_1, u ok bro",neither,0.03938202168242839,0.3315843131626417,0.6290336651549299
Tatman eeuuuugh,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
suh doodes,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
LOL,neither,0.020706217963973744,0.4882283491876925,0.4910654328483337
shroudH shroudHype shroudH shroudHype shroudH shroudHype shroudH shroudHype shroudH shroudHype shroudH shroudHype shroudH shroudHype shroudH shroudHype shroudH shroudHype,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Has shroud ever played lol?,neither,0.03177202835348462,0.38192180621943284,0.5863061654270825
wait is this live? it's 11am in the uk lmao,neither,0.045597728560332916,0.3293574791722907,0.6250447922673764
ikr,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
shroudHype shroudHype,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ik,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@shroud why are you still playing h1z1?,neither,0.07567728376528919,0.37033008913771853,0.5539926270969923
"@VaporC9, why not ?",neither,0.019254511639927464,0.36928594044212826,0.6114595479179443
RIP.,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@molorien lol just mad cause shroud some rich guy who just does dumb stuff,offensive_language,0.0195233903334194,0.5180778243339612,0.4623987853326193
WHO?,offensive_language,0.04159901189299763,0.525362713080101,0.4330382750269014
shroud Aim in the chest with shotgun now head and go first person with shotgun,neither,0.022897313177590875,0.36078119912701573,0.6163214876953933
hoo like a fucking owl,offensive_language,0.12072484065126063,0.8744458912203805,0.004829268128358888
Hooo?,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
HeyGuys,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"VaporC9, why not ? he's enjoying it",neither,0.030205019343545327,0.35007535543781626,0.6197196252186384
@VaporC9 let him play what he want,neither,0.03263446700035537,0.35578369238006796,0.6115818406195767
Shroud with >200 viewers wtf,offensive_language,0.03221458421986461,0.5493345341000954,0.41845088168003997
you guys had a sick game today. Glad to see some fresh NA hope!,neither,0.06791632763669973,0.2534365237668753,0.6786471485964249
@shroud play cs kurwa,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
who is called late,neither,0.049837851145951996,0.4014112258159893,0.5487509230380586
lol,neither,0.020706217963973744,0.4882283491876925,0.4910654328483337
hahahaha,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
LUL,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
LOL,neither,0.020706217963973744,0.4882283491876925,0.4910654328483337
!viewmodel,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"@callmeways Shroud's viewmodel settings are: viewmodel_fov ""68"";viewmodel_offset_x ""2.5"";viewmodel_offset_y ""1"";viewmodel_offset_z ""-1.5"";",neither,0.1675493120064283,0.18605165911864094,0.6463990288749307
H1?,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
LUL,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
LOL,neither,0.020706217963973744,0.4882283491876925,0.4910654328483337
Wtf there were 183viewers and now 5k LUL,neither,0.040371501850571236,0.40253295261177024,0.5570955455376585
LOL,neither,0.020706217963973744,0.4882283491876925,0.4910654328483337
LUL,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
should have flashed him in with your stun,neither,0.07707203185032803,0.4296405685588586,0.49328739959081336
LOL,neither,0.020706217963973744,0.4882283491876925,0.4910654328483337
LOL,neither,0.020706217963973744,0.4882283491876925,0.4910654328483337
@hamoxo Leith. M0es little brothre,neither,0.038753252915513146,0.3422561600929139,0.618990586991573
Play some mine craft,neither,0.02993770788105596,0.3472861510609272,0.6227761410580169
NA FLASH,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
What's up shroud,neither,0.04549209283961305,0.43877665191533993,0.5157312552450469
LUL,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
LUL,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
lol shroud,neither,0.020706217963973744,0.4882283491876925,0.4910654328483337
LOL,neither,0.020706217963973744,0.4882283491876925,0.4910654328483337
notification squad?,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Lul,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
NA FLASH,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
LOL,neither,0.020706217963973744,0.4882283491876925,0.4910654328483337
LOL,neither,0.020706217963973744,0.4882283491876925,0.4910654328483337
Hœœœœœœœœœpłłłüûūÿgfrdvbhgjjmdç,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
NA FLASH,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
haha,neither,0.03186685585600258,0.45913629025701075,0.5089968538869867
LUL,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
IM BLIND IM BLIND IM BLIND,neither,0.03833429368541044,0.3728110426471635,0.588854663667426
I ally f,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
TarikHangYourself LUL,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
shroudW shroudMilk,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
csgo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"lieth = ignored, f to pay respects",neither,0.05193145051002263,0.3232604002528963,0.624808149237081
n1gnogger lel,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
LOL THE NAME: TARIKHANGYOURSELF ANY SEE THAT??,neither,0.027281464954847786,0.4119898627684942,0.5607286722766581
F,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
f,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Kappa,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
f,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
yeah xd,offensive_language,0.013968601452186464,0.5182923869769311,0.4677390115708824
ananı sikim şhro naber,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
!uptime,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
f,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@kijuu123 Channel shroud has been live for 03m and 58s,neither,0.037527441653855145,0.2724964938497483,0.6899760644963965
TriHard,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
lol,neither,0.020706217963973744,0.4882283491876925,0.4910654328483337
f,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@s,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
TriHard,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
TK MOE,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
shroud I'm smoking a bowl!,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
TriHard,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
BACK PACK HOMIE,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
NA MOVEMENT AND CALLOUTS,neither,0.03869965149114332,0.29244459491424635,0.6688557535946104
NA plays,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
LOOL,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
meanwhile shroud 4Head,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
see this is how you get out of the group stages at majors Kappa,neither,0.05141143868422328,0.3843111193378422,0.5642774419779345
rip,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
take the vechile key and biofuel :D,neither,0.03777408792941059,0.2693194212867318,0.6929064907838577
TriHard,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
rip,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
rip strum,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
rip?,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
LMFAO,neither,0.05470637918084239,0.32512982320825545,0.6201637976109021
rip,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
rip?,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
