text,top_class,hate_speech,offensive_language,neither
POGGERS Clap,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
hahahaha,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
We Live,neither,0.04675156173251523,0.3319383047908141,0.6213101334766706
omg,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Does anyone know what headset shroud uses?,neither,0.030822946858908698,0.44009430134718647,0.5290827517939047
shroudOF shroudOF shroudOF shroudOF shroudOF,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
annytfYay annytfYay annytfYay annytfYay annytfYay annytfYay,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
!HEADSET,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
oh hell yeah,offensive_language,0.028276047408607233,0.8202133433553158,0.15151060923607693
"@wava, He uses the HyperX Cloud Flight wireless headset - http://hyperx.gg/ShroudFlight",neither,0.040382456267664464,0.23573222815408024,0.7238853155782552
POGGERINO,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
oh god im on tv shroudM,neither,0.04075634229061732,0.3270995780497162,0.6321440796596663
shroudJam,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ah thanks,neither,0.036849678133627814,0.3085744604586018,0.6545758614077704
Try Postmates - New users get $100 in free delivery fee credit with code 'SHROUD'! https://t.co/Lcfq8GkGKz shroudHype,neither,0.0353620628076255,0.3088663594096241,0.6557715777827504
shroud is now live! Streaming Apex Legends: Ranked.? | Follow @shroud on socials |,neither,0.04458081991039055,0.3352848278725611,0.6201343522170483
@madness777 wb shroudHug,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
shroudJam shroudJam shroudJam shroudJam shroudJam shroudJam,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@madness777 hellooo madness!! shroudJam,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
We live,neither,0.04675156173251523,0.3319383047908141,0.6213101334766706
Hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Helli,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
shroudOF shroudOF shroudOF shroudOF,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
oh boy,neither,0.04768565599480007,0.25364348607606696,0.698670857929133
WideHarder 7,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
how,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Ayee,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
forgePOG forgePOG forgePOG we out cheer??,neither,0.03445017070320693,0.35200750545234133,0.6135423238444518
POGGGS,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Sup,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
HELL YEAH,offensive_language,0.024014075456083226,0.8806496383571902,0.0953362861867266
hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
bruh,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
first,neither,0.02604892428726219,0.3349864360510187,0.6389646396617191
Sup shroud,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
troyDS,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
everything groovy,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ischwiLove ischwiLove ischwiLove,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
HELL~~~,offensive_language,0.04200371988054301,0.9217873149033805,0.03620896521607647
sa,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
KKoooona,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
how powerful of a computer do I need to run Apex,neither,0.04438274542717508,0.326704447388117,0.628912807184708
TITLE CHANGE!,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
shroudOF shroudLoud shroudOF shroudLoud shroudOF shroudLoud shroudOF shroudLoud shroudOF shroudLoud shroudOF shroudLoud shroudOF shroudLoud shroudOF shroudLoud,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
!headset,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"@loqueirfan, He uses the HyperX Cloud Flight wireless headset - http://hyperx.gg/ShroudFlight",neither,0.040382456267664464,0.23573222815408024,0.7238853155782552
Shroud uses Predator PCs & Monitors! Check out the Acer Predator Helios 300 gaming laptop here! https://bit.ly/Shroud_Helios,neither,0.05565039247638786,0.3128236741658338,0.6315259333577783
OneHand,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
this song again skaHY,neither,0.03644575120369589,0.38142048624204317,0.582133762554261
Yooo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
LETS GO,neither,0.039984317429425154,0.35542799280679366,0.6045876897637812
wooo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
hello,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
First,neither,0.02604892428726219,0.3349864360510187,0.6389646396617191
Where live boys,neither,0.04730913768095533,0.29116960696915956,0.6615212553498853
TriHard 7,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
WZZZZZZZAAAAP,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Heey wassup,neither,0.33529425248498695,0.08556156890646638,0.5791441786085466
