text,top_class,hate_speech,offensive_language,neither
live,neither,0.04891340716200846,0.3271222919257548,0.6239643009122369
ayyyyy,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
hey,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
yes,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
woo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Boi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
YES,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Live,neither,0.04891340716200846,0.3271222919257548,0.6239643009122369
ayyyyyyyyyyyyyyyy,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
yess,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ayyy,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
its starting,neither,0.0318254011087983,0.33299964078826727,0.6351749581029343
Hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Yeaaaaaa,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
NINJA,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
literally just joinde lol,neither,0.02483435966210977,0.4313660670604671,0.5437995732774231
Yooooo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Ayyy,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ayy,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
I would probably donate a kidney to charity if i had one,neither,0.02913974522449993,0.3956748292255429,0.5751854255499571
Ayyy,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
No ja,neither,0.03848957175417732,0.3467315175537778,0.6147789106920449
@Mlsto he tought me i can be a bad person and still be famous and successful,neither,0.03492600207232919,0.3146302049534236,0.6504437929742474
Hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
j,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
hola omegos,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
What’s up,neither,0.04549209283961305,0.43877665191533993,0.5157312552450469
Took ya time,offensive_language,0.023074396843716802,0.6313376996640069,0.3455879034922764
YO GUYS,neither,0.03954116221073926,0.44943115951990936,0.5110276782693512
Lets go,neither,0.039984317429425154,0.35542799280679366,0.6045876897637812
Hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Hello,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Hello,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
:D,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
uo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ninjaCreep,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"Hello, DUDE!",neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Great Song @Ninja,neither,0.03727447320687822,0.31353384336763573,0.649191683425486
hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
KappPride KappPrided ont make me wait another day KappPride KappPride,neither,0.06912666536093796,0.29014011570015513,0.6407332189389068
hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Aye,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
NINJA!!!!,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
PogChamp,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
!uptime,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
yoo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
How ya doing,offensive_language,0.023002982826440192,0.6366742853767758,0.34032273179678385
Yo,offensive_language,0.04010381111145228,0.5271105317972344,0.4327856570913131
Ninja has been streaming for 39 seconds,neither,0.03583218129919203,0.31126190531093073,0.6529059133898771
hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
LIVEEEEE,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ninjaHype ninjaHype ninjaHype ninjaHype ninjaHype ninjaHype ninjaHype ninjaHype ninjaHype,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
