text,top_class,hate_speech,offensive_language,neither
@theorikulax I'm not sure. I think he retired in 2009 though,neither,0.038098692930179964,0.4325811929287252,0.5293201141410949
"@ninja just wanted to say thanks for streaming, I'm ill and highly enjoying the stream",neither,0.035852422476629224,0.29234586385178024,0.6718017136715905
Ok then i might have to change from chrome...,neither,0.04468586259726718,0.3216670501736451,0.6336470872290876
He's definitely a legend,neither,0.044995887676910304,0.32846970651689644,0.6265344058061932
"@Croatianboi, feel better!",neither,0.03945320844208391,0.33037608806864915,0.630170703489267
i find source more clearer than high when people play h1z1,neither,0.04988555250951648,0.35364008485856196,0.5964743626319216
he retired? wow,neither,0.044988896471428876,0.3284721111130474,0.6265389924155237
I use medium and its just fine OpieOP,neither,0.009322088919010728,0.40501335333763966,0.5856645577433497
Source is always op,neither,0.0446421148756493,0.3745174180666914,0.5808404670576593
yeah,offensive_language,0.013968601452186464,0.5182923869769311,0.4677390115708824
BloodTrail got it,neither,0.033384131469087024,0.4408120912412251,0.525803777289688
Thats not a glitch.,neither,0.03816419469272044,0.33521734672061815,0.6266184585866614
"yo Ninja , how do you turn off all the people speaking in the loading screen?",neither,0.07156884616978743,0.4254320600166644,0.5029990938135482
"@ninja just wanted to say thanks for streaming, I'm ill and highly enjoying the stream!",neither,0.035852422476629224,0.29234586385178024,0.6718017136715905
is it me or do i suck now in h1z1?,neither,0.06241135588552735,0.3759056804677934,0.5616829636466794
Not a glitch? WutFace,neither,0.03798429109608333,0.3359028173923576,0.626112891511559
They did it to fix the people jumping out at max speed with shotguns,neither,0.045458631992215184,0.3612091570057509,0.5933322110020339
"@Fwenzyy, in audio settings",neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"@Croatianboi, get better, it sucks to be ill!",neither,0.04419934316081222,0.33896742120143875,0.616833235637749
1g,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Can't find it D: Im kinda a noob so Im probably blind aas *** :D,neither,0.03969243220492373,0.35375235771767577,0.6065552100774004
i dont get what this lag is..,neither,0.05190915912023567,0.33333495934871415,0.6147558815310502
i got awesome NBN net,neither,0.03824374462760638,0.37383246019928185,0.5879237951731117
gg ninja lmao,neither,0.03826895052530885,0.35047603558320173,0.6112550138914894
Tigerblood shotgun kill Kreygasm Kreygasm Kreygasm,hate_speech,0.8049631745027624,0.06081337559969249,0.1342234498975451
and its on medium :o,neither,0.025014944820217745,0.28935429303673943,0.6856307621430429
"@Fwenzyy, i havnt updated h1z1 in months so i cant go check for you sorry",neither,0.04494553360212722,0.36598332878211226,0.5890711376157605
ninja carries 1g in his backpack,neither,0.057324774968979586,0.3320326827684506,0.6106425422625699
"@ninja just wanted to say thanks for streaming, I'm ill and highly enjoying the stream",neither,0.035852422476629224,0.29234586385178024,0.6718017136715905
i feel ever time that i play on us servers ever one is glitching!!,neither,0.06103532713666359,0.3882573605096425,0.5507073123536939
new shotgun too OP,neither,0.04305175919764158,0.2384803004559532,0.7184679403464053
"@Fwenzyy, ctrl alt M",neither,0.03945320844208391,0.33037608806864915,0.630170703489267
yo ninja that shotgun range was insane,neither,0.036636837315880966,0.4111339093981555,0.5522292532859636
ninja are you playing on us server?,neither,0.1439582023718944,0.3248454429931692,0.5311963546349363
yes he is,neither,0.06356978563790174,0.3220812912908292,0.614348923071269
are eu servers playable from US?,neither,0.12502035027426184,0.2575589815560362,0.617420668169702
"Oh oke, I got you",neither,0.08799281940476537,0.42280361578384573,0.4892035648113888
"@Ninja, remember when m9 was broken? ;D",neither,0.031448957796594124,0.3715475849822737,0.5970034572211322
Thanks guys xoxox,neither,0.03655862387837074,0.3098941200382932,0.6535472560833362
Honestly im so spoiled when I play cs because I get 300 fps :(,neither,0.03283802822147017,0.40884553221536324,0.5583164395631666
Cana u hit them dank sniper shots!!!,neither,0.05119335242573552,0.32377830954214815,0.6250283380321163
left first aid kits PogChamp,neither,0.03245365577330442,0.33278355520014746,0.6347627890265481
@Sp00sh coool,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"yooo @Ninja whats good, if I'm watching while you get a win today I'll give you that sweet sweet sub",neither,0.03988570278029037,0.4057036768584793,0.5544106203612305
did i hit you when you came from behind cause i got that crosshair hitmarker bug,offensive_language,0.04795493361201776,0.4938051204423024,0.45823994594567974
Well playing h1 with low fps hurts me,neither,0.025792011113312353,0.3915057302923023,0.5827022585943854
300 fps probably using a 60hz monitor LUL,neither,0.035684077788071845,0.39434807191439736,0.5699678502975307
that dropped bag thing scks,neither,0.0384400617784052,0.3229246305666381,0.6386353076549568
Come Join the Ninjas and support Tyler and his stream by subscribing here! https://secure.twitch.tv/products/ninja/ticket,neither,0.08445523311702725,0.2985902649493576,0.6169545019336152
Graffiti that ***,neither,0.0349751205147877,0.3792120518198444,0.5858128276653679
"@SymDonB, 144hz bud",neither,0.03945320844208391,0.33037608806864915,0.630170703489267
HeyGuys Ninja and chat.,neither,0.03869535757571686,0.29220585121961967,0.6690987912046635
Fresh car in PV?,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
man my fps always droping every time that i jump on us server,offensive_language,0.04654190752643637,0.5281070696636939,0.4253510228098698
sp00sh Mah ***,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ill eat my shoe if u win,neither,0.019448616715986154,0.4393614699879202,0.5411899132960938
BlueDevil ninjaHi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Doc is live,neither,0.05444133562506924,0.32522098384081777,0.620337680534113
Shoe on head or riot,neither,0.035983747197612374,0.3628350334661126,0.601181219336275
doc has been live,neither,0.043781955953992154,0.32765613654910153,0.6285619074969064
I'll sub as well for a win,neither,0.03296975150047984,0.3337305234077862,0.6332997250917339
The sniper sounds so insane now,neither,0.03851986539566713,0.3556478788686975,0.6058322557356354
!br,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
0 Wins Today,neither,0.037739400101288526,0.3038434193593761,0.6584171805393354
i love kfc,neither,0.03609969109667712,0.3460607163663087,0.6178395925370141
"@Ninja, you have to aim higher up hill because they *** the camera",neither,0.04960948743849261,0.37800155120756224,0.5723889613539452
FeelsBadMan,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
🐼,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
and watermelon,neither,0.03846438058034846,0.2787701933039564,0.6827654261156952
"@Ninja, did you use the m9 when it was broken as hell?",offensive_language,0.020363444703273025,0.7064347719554736,0.27320178334125356
make that 3 new subscribers,neither,0.039018815718230015,0.2543483407469511,0.7066328435348188
TriHard,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@nina,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
I tried to kill this dude the whole game ninja he just kept camping right there,neither,0.16800691898688477,0.22805658634235323,0.603936494670762
"@Ninja, watch where your bullet hits when shooting up kill",neither,0.24222567668382888,0.28143830731406033,0.47633601600211073
hill*,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
finally,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
